Metric,Before_Correction,After_Correction
Thickness Mean (nm),10.016996372567863,10.010835752312989
Thickness Std (nm),0.07351153769018433,0.05776178547687551
Thickness Cp,2.267217798777197,2.8854140378570947
Thickness Cpk,2.1901488419761797,2.8228827741878133
GPC Mean (nm/cycle),0.10037557580551706,0.10010578633342994
GPC Std (nm/cycle),0.0017830210128371225,0.0005233935901341861
GPC Cp,0.9347431436125844,3.184346728891675
GPC Cpk,0.8645297617898141,3.116974655927861
Qualification / Yield (%),100.0,100.0
