Experiment,Temperature_C,Pressure_Torr,TMA_Pulse_s,H2O_Pulse_s,Purge_s,GPC_nm_per_cycle,Film_Thickness_nm,Cycle_Time_s,Total_Process_Time_s,Relative_Throughput_cycles_per_hour,Thickness_Uniformity_1sigma_%,Film_Stress_MPa,Film_Density_g_cm3,Surface_Roughness_nm_RMS,Defect_Density_per_cm2,Film_Quality_Score
129,200,1.0,1.5,0.5,10.0,0.0653582297761947,6.535822977619474,22.0,2200.0,163.63636363636363,1.3,50.0,2.975,0.23,11.0,0.8091594195817863
130,200,1.0,1.5,1.0,2.5,0.08925,8.925,7.5,750.0,480.0,1.95,57.5,2.9875,0.29500000000000004,28.0,0.6376166454954073
131,200,1.0,1.5,1.0,5.0,0.105,10.500000000000002,12.5,1250.0,288.0,1.15,57.5,2.9875,0.21500000000000002,8.0,0.8464401749071719
132,200,1.0,1.5,1.0,10.0,0.105,10.500000000000002,22.5,2250.0,160.0,1.15,57.5,2.9875,0.21500000000000002,8.0,0.8464401749071719
133,200,1.0,1.5,1.5,2.5,0.0937125,9.37125,8.0,800.0,450.0,2.1,65.0,2.975,0.31,31.0,0.5724289134258356
134,200,1.0,1.5,1.5,5.0,0.11025,11.025000000000002,13.0,1300.0,276.9230769230769,1.3,65.0,2.975,0.23,11.0,0.7812524428376003
135,200,1.0,1.5,1.5,10.0,0.11025,11.025000000000002,23.0,2300.0,156.52173913043478,1.3,65.0,2.975,0.23,11.0,0.7812524428376003
136,200,1.4,0.5,0.5,2.5,0.0285676530613369,2.856765306133696,6.0,600.0,600.0,2.6,55.0,2.9250000000000003,0.36000000000000004,41.0,0.4107289427398868
137,200,1.4,0.5,0.5,5.0,0.0336090036015728,3.3609003601572893,11.0,1100.0,327.27272727272725,1.8,55.0,2.9250000000000003,0.28,21.0,0.6195524721516515
138,200,1.4,0.5,0.5,10.0,0.0336090036015728,3.3609003601572893,21.0,2100.0,171.42857142857142,1.8,55.0,2.9250000000000003,0.28,21.0,0.6195524721516515
139,200,1.4,0.5,1.0,2.5,0.0458948105190713,4.58948105190713,6.5,650.0,553.8461538461538,2.45,62.5,2.9375,0.34500000000000003,38.0,0.4480096980652725
140,200,1.4,0.5,1.0,5.0,0.0539938947283191,5.399389472831918,11.5,1150.0,313.0434782608696,1.65,62.5,2.9375,0.265,18.0,0.6568332274770374
141,200,1.4,0.5,1.0,10.0,0.0539938947283191,5.399389472831918,21.5,2150.0,167.4418604651163,1.65,62.5,2.9375,0.265,18.0,0.6568332274770374
142,200,1.4,0.5,1.5,2.5,0.0481895510450248,4.818955104502487,7.0,700.0,514.2857142857143,2.6,70.0,2.9250000000000003,0.36000000000000004,41.0,0.3828219659957008
143,200,1.4,0.5,1.5,5.0,0.0566935894647351,5.669358946473514,12.0,1200.0,300.0,1.8,70.0,2.9250000000000003,0.28,21.0,0.5916454954074655
144,200,1.4,0.5,1.5,10.0,0.0566935894647351,5.669358946473514,22.0,2200.0,163.63636363636363,1.8,70.0,2.9250000000000003,0.28,21.0,0.5916454954074655
145,200,1.4,1.0,0.5,2.5,0.0458948105190713,4.58948105190713,6.5,650.0,553.8461538461538,2.45,62.5,2.9375,0.34500000000000003,38.0,0.4480096980652725
146,200,1.4,1.0,0.5,5.0,0.0539938947283191,5.399389472831918,11.5,1150.0,313.0434782608696,1.65,62.5,2.9375,0.265,18.0,0.6568332274770374
147,200,1.4,1.0,0.5,10.0,0.0539938947283191,5.399389472831918,21.5,2150.0,167.4418604651163,1.65,62.5,2.9375,0.265,18.0,0.6568332274770374
148,200,1.4,1.0,1.0,2.5,0.0737314202205899,7.373142022058992,7.0,700.0,514.2857142857143,2.3,70.0,2.95,0.33,35.0,0.48529045339065874
