Parameter,Unit,LSL,USL,Mean,Std_Dev,Cp,Cpu,Cpl,Cpk,Capability_Status
Film Thickness,nm,9.5,10.5,10.016996372567863,0.07351153769018433,2.267217798777197,2.1901488419761797,2.344286755578214,2.1901488419761797,Excellent
GPC,nm/cycle,0.095,0.105,0.10037557580551706,0.0017830210128371225,0.9347431436125844,0.8645297617898141,1.0049565254353545,0.8645297617898141,Not Capable
Thickness Uniformity,%,0.0,2.0,1.0226659874790676,0.09243525678355924,3.606127628485377,3.5243911848102076,3.6878640721605462,3.5243911848102076,Excellent
Defect Density,defects/cm²,0.0,20.0,4.982713603417403,0.5846813419215522,5.701111176864907,8.561521932173838,2.840700421555977,2.840700421555977,Excellent
