Parameter,Defect_Count,Defect_Rate_%
Film Thickness,0,0.0
GPC,3,0.2
Thickness Uniformity,0,0.0
Film Stress,0,0.0
Film Density,0,0.0
Surface Roughness,0,0.0
Defect Density,0,0.0
