Experiment,Temperature_C,Pressure_Torr,TMA_Pulse_s,H2O_Pulse_s,Purge_s,GPC_nm_per_cycle,Film_Thickness_nm,Cycle_Time_s,Total_Process_Time_s,Relative_Throughput_cycles_per_hour,Thickness_Uniformity_1sigma_%,Film_Stress_MPa,Film_Density_g_cm3,Surface_Roughness_nm_RMS,Defect_Density_per_cm2,Film_Quality_Score,Thickness_Error_%,Thickness_OK,Uniformity_OK,Stress_OK,Density_OK,Roughness_OK,Defectivity_OK,Throughput_OK,Process_Qualified,Score_Thickness,Score_Uniformity,Score_Stress,Score_Density,Score_Roughness,Score_Defectivity,Score_Throughput,Optimization_Score
122,200,1.0,1.0,1.0,5.0,0.1,10.0,12.0,1200.0,300.0,1.0,50.0,3.0,0.2,5.0,0.9116279069767442,0.0,True,True,True,True,True,True,True,True,1.0,1.0,0.5581395348837209,1.0,1.0,1.0,0.32352941176470584,0.8881668946648427
123,200,1.0,1.0,1.0,10.0,0.1,10.0,22.0,2200.0,163.63636363636363,1.0,50.0,3.0,0.2,5.0,0.9116279069767442,0.0,True,True,True,True,True,True,True,True,1.0,1.0,0.5581395348837209,1.0,1.0,1.0,0.01604278074866308,0.8574182315632384
131,200,1.0,1.5,1.0,5.0,0.105,10.500000000000002,12.5,1250.0,288.0,1.15,57.5,2.9875,0.215,8.0,0.8464401749071719,5.000000000000018,False,True,True,True,True,True,True,False,0.9351877228086608,0.9375,0.4883720930232558,0.9285714285714275,0.9375000000000001,0.9411764705882353,0.2964705882352941,0.8269345601725578
125,200,1.0,1.0,1.5,5.0,0.105,10.500000000000002,12.5,1250.0,288.0,1.15,57.5,2.9875,0.215,8.0,0.8464401749071719,5.000000000000018,False,True,True,True,True,True,True,False,0.9351877228086608,0.9375,0.4883720930232558,0.9285714285714275,0.9375000000000001,0.9411764705882353,0.2964705882352941,0.8269345601725578
126,200,1.0,1.0,1.5,10.0,0.105,10.500000000000002,22.5,2250.0,160.0,1.15,57.5,2.9875,0.215,8.0,0.8464401749071719,5.000000000000018,False,True,True,True,True,True,True,False,0.9351877228086608,0.9375,0.4883720930232558,0.9285714285714275,0.9375000000000001,0.9411764705882353,0.007843137254901962,0.7980718150745186
132,200,1.0,1.5,1.0,10.0,0.105,10.500000000000002,22.5,2250.0,160.0,1.15,57.5,2.9875,0.215,8.0,0.8464401749071719,5.000000000000018,False,True,True,True,True,True,True,False,0.9351877228086608,0.9375,0.4883720930232558,0.9285714285714275,0.9375000000000001,0.9411764705882353,0.007843137254901962,0.7980718150745186
134,200,1.0,1.5,1.5,5.0,0.11025,11.025000000000002,13.0,1300.0,276.9230769230769,1.3,65.0,2.975,0.23,11.0,0.7812524428376003,10.250000000000021,False,True,True,True,True,True,True,False,0.8671348317577547,0.875,0.4186046511627907,0.8571428571428575,0.875,0.8823529411764706,0.2714932126696832,0.7651002170117617
121,200,1.0,1.0,1.0,2.5,0.085,8.5,7.0,700.0,514.2857142857143,1.8,50.0,3.0,0.28,25.0,0.7028043775649795,15.0,False,True,True,True,True,False,True,False,0.805563168425983,0.6666666666666665,0.5581395348837209,1.0,0.6666666666666666,0.6078431372549019,0.8067226890756304,0.7486613282279211
113,200,1.0,0.5,1.0,5.0,0.0622459331201854,6.224593312018547,11.5,1150.0,313.0434782608696,1.15,42.5,2.9875,0.215,8.0,0.8743471516513579,37.75406687981454,False,True,True,True,True,True,True,False,0.5106145904570218,0.9375,0.627906976744186,0.9285714285714275,0.9375000000000001,0.9411764705882353,0.3529411764705883,0.7403918242802705
119,200,1.0,1.0,0.5,5.0,0.0622459331201854,6.224593312018547,11.5,1150.0,313.0434782608696,1.15,42.5,2.9875,0.215,8.0,0.8743471516513579,37.75406687981454,False,True,True,True,True,True,True,False,0.5106145904570218,0.9375,0.627906976744186,0.9285714285714275,0.9375000000000001,0.9411764705882353,0.3529411764705883,0.7403918242802705
