,sum_sq,df,F,PR(>F),Contribution_%
C(Temperature_C),0.021537642976131224,2.0,441.19282717824603,8.719403429526587e-80,15.475800847902166
C(Pressure_Torr),0.005156810979522213,2.0,105.63588679599826,2.4147783101810883e-33,3.705409167465755
C(TMA_Pulse_s),0.05036672791545041,2.0,1031.7488830770217,3.426800397468743e-116,36.19084276974115
C(H2O_Pulse_s),0.05036672791545043,2.0,1031.7488830770221,3.42680039746858e-116,36.190842769741174
C(Purge_s),0.006079148097651304,2.0,124.5297147422495,1.8262210660743158e-37,4.36815139838734
Residual,0.0056627543135959885,232.0,,,4.068953046762423
